delivery_rate,rss_median,link,channel
0.0519889224572004,-82.0,77,44
0.01264367816091954,-80.0,77,48
0.6125753012048193,-77.0,77,52
0.001959503592423253,-78.0,77,56
0.0183757388846055,-77.0,77,60
,,77,64
,,8,149
,,8,153
,,8,157
,,8,161
,,8,165
,,8,36
,,8,40
,,8,44
,,8,48
,,8,52
,,8,56
,,8,60
,,8,64
,,9,149
,,9,153
,,9,157
,,9,161
,,9,165
,,9,36
,,9,40
,,9,44
,,9,48
,,9,52
,,9,56
,,9,60
,,9,64
